policy,parameter,outcome,importance
moderate_abatement,delta,welfare,0.16758014667557458
moderate_abatement,delta,years_above_temperature_threshold,0.14615046023477646
moderate_abatement,delta,fraction_above_threshold,0.0
moderate_abatement,delta,global_temperature_2100,0.15859263402802415
moderate_abatement,delta,max_global_temperature,0.24030737706904703
moderate_abatement,delta,welfare_loss_damage,0.1035858809849727
moderate_abatement,delta,welfare_loss_abatement,0.22764552909868846
moderate_abatement,delta,zaf_mean_abatement_burden,0.17447522853112504
moderate_abatement,delta,zaf_mean_damage_fraction,0.17187335449087918
moderate_abatement,delta,zaf_mean_net_output_ratio,0.14055502804941178
moderate_abatement,ecs_ensemble,welfare,0.17468591381181253
moderate_abatement,ecs_ensemble,years_above_temperature_threshold,0.560106147328716
moderate_abatement,ecs_ensemble,fraction_above_threshold,0.0
moderate_abatement,ecs_ensemble,global_temperature_2100,0.5145949763894049
moderate_abatement,ecs_ensemble,max_global_temperature,0.4026456425126489
moderate_abatement,ecs_ensemble,welfare_loss_damage,0.10280587647703449
moderate_abatement,ecs_ensemble,welfare_loss_abatement,0.14458955340989627
moderate_abatement,ecs_ensemble,zaf_mean_abatement_burden,0.5242303341494042
moderate_abatement,ecs_ensemble,zaf_mean_damage_fraction,0.6325226426225707
moderate_abatement,ecs_ensemble,zaf_mean_net_output_ratio,0.6602929332463106
moderate_abatement,eta,welfare,0.39996137918208147
moderate_abatement,eta,years_above_temperature_threshold,0.12021766381890148
moderate_abatement,eta,fraction_above_threshold,0.0
moderate_abatement,eta,global_temperature_2100,0.11613664644230416
moderate_abatement,eta,max_global_temperature,0.10509467080125007
moderate_abatement,eta,welfare_loss_damage,0.689361070306449
moderate_abatement,eta,welfare_loss_abatement,0.40855055053845873
moderate_abatement,eta,zaf_mean_abatement_burden,0.12614031742790102
moderate_abatement,eta,zaf_mean_damage_fraction,0.0901532183114872
moderate_abatement,eta,zaf_mean_net_output_ratio,0.0956300702793906
moderate_abatement,rho,welfare,0.2577725603305315
moderate_abatement,rho,years_above_temperature_threshold,0.17352572861760598
moderate_abatement,rho,fraction_above_threshold,0.0
moderate_abatement,rho,global_temperature_2100,0.21067574314026694
moderate_abatement,rho,max_global_temperature,0.251952309617054
moderate_abatement,rho,welfare_loss_damage,0.10424717223154376
moderate_abatement,rho,welfare_loss_abatement,0.2192143669529566
moderate_abatement,rho,zaf_mean_abatement_burden,0.17515411989156962
moderate_abatement,rho,zaf_mean_damage_fraction,0.10545078457506285
moderate_abatement,rho,zaf_mean_net_output_ratio,0.103521968424887
