policy,outcome,parameter_1,parameter_2,S2,S2_conf
moderate_abatement,welfare,rho,eta,-0.19131391651183788,0.4129307185154949
moderate_abatement,welfare,rho,delta,0.00944246970741617,0.023829275767043596
moderate_abatement,welfare,rho,ecs_ensemble,0.009441203307842509,0.023839603536078086
moderate_abatement,welfare,eta,delta,2.5897661964417686,4.64045568966054
moderate_abatement,welfare,eta,ecs_ensemble,2.5897623895688864,4.640457515235912
moderate_abatement,welfare,delta,ecs_ensemble,1.3223140584525214e-06,0.000152625354287817
moderate_abatement,years_above_temperature_threshold,rho,eta,0.0,0.0
moderate_abatement,years_above_temperature_threshold,rho,delta,1.3552527156068805e-19,2.6207322145852482e-18
moderate_abatement,years_above_temperature_threshold,rho,ecs_ensemble,0.0,1.2936377929574404e-16
moderate_abatement,years_above_temperature_threshold,eta,delta,1.3552527156068805e-19,2.6207322145852482e-18
moderate_abatement,years_above_temperature_threshold,eta,ecs_ensemble,0.0,1.2936377929574404e-16
moderate_abatement,years_above_temperature_threshold,delta,ecs_ensemble,0.0005063317169065051,0.002148498737676929
moderate_abatement,fraction_above_threshold,rho,eta,0.0,0.0
moderate_abatement,fraction_above_threshold,rho,delta,0.0,0.0
moderate_abatement,fraction_above_threshold,rho,ecs_ensemble,0.0,0.0
moderate_abatement,fraction_above_threshold,eta,delta,0.0,0.0
moderate_abatement,fraction_above_threshold,eta,ecs_ensemble,0.0,0.0
moderate_abatement,fraction_above_threshold,delta,ecs_ensemble,0.0021708981708982167,0.003922056491104429
moderate_abatement,global_temperature_2100,rho,eta,0.0,0.0
moderate_abatement,global_temperature_2100,rho,delta,-4.038653092508504e-18,5.343426386270688e-18
moderate_abatement,global_temperature_2100,rho,ecs_ensemble,0.0,2.2298408069053953e-16
moderate_abatement,global_temperature_2100,eta,delta,-4.038653092508504e-18,5.343426386270688e-18
moderate_abatement,global_temperature_2100,eta,ecs_ensemble,0.0,2.2298408069053953e-16
moderate_abatement,global_temperature_2100,delta,ecs_ensemble,-0.0004236567992161877,0.0016541265780628466
moderate_abatement,max_global_temperature,rho,eta,0.0,0.0
moderate_abatement,max_global_temperature,rho,delta,4.174178364069192e-18,6.599311263293433e-18
moderate_abatement,max_global_temperature,rho,ecs_ensemble,0.0,1.3331486468191709e-16
moderate_abatement,max_global_temperature,eta,delta,4.174178364069192e-18,6.599311263293433e-18
moderate_abatement,max_global_temperature,eta,ecs_ensemble,0.0,1.3331486468191709e-16
moderate_abatement,max_global_temperature,delta,ecs_ensemble,-0.0016850719213810095,0.005959247579990369
moderate_abatement,welfare_loss_damage,rho,eta,-0.1553803050815687,0.31358253416964305
moderate_abatement,welfare_loss_damage,rho,delta,0.009841268181744372,0.03939730621457535
moderate_abatement,welfare_loss_damage,rho,ecs_ensemble,0.012821152946831924,0.04135444746874338
moderate_abatement,welfare_loss_damage,eta,delta,2.1920802695105928,4.089387507286026
moderate_abatement,welfare_loss_damage,eta,ecs_ensemble,2.208895912944158,4.078718241220613
moderate_abatement,welfare_loss_damage,delta,ecs_ensemble,3.712967473440865e-05,0.00019565458702773065
moderate_abatement,welfare_loss_abatement,rho,eta,-0.195985570480568,0.3882590977725552
moderate_abatement,welfare_loss_abatement,rho,delta,0.006283639066541232,0.025550222170631267
moderate_abatement,welfare_loss_abatement,rho,ecs_ensemble,0.006283639066541232,0.025550222170631267
moderate_abatement,welfare_loss_abatement,eta,delta,2.572488330007612,4.9150510609655615
moderate_abatement,welfare_loss_abatement,eta,ecs_ensemble,2.572488330007612,4.9150510609655615
moderate_abatement,welfare_loss_abatement,delta,ecs_ensemble,0.0,0.0
moderate_abatement,zaf_mean_abatement_burden,rho,eta,0.0,0.0
moderate_abatement,zaf_mean_abatement_burden,rho,delta,0.0,1.2536447985025101e-16
moderate_abatement,zaf_mean_abatement_burden,rho,ecs_ensemble,1.1102230246251565e-16,1.1687451591809958e-16
moderate_abatement,zaf_mean_abatement_burden,eta,delta,0.0,1.2536447985025101e-16
moderate_abatement,zaf_mean_abatement_burden,eta,ecs_ensemble,1.1102230246251565e-16,1.1687451591809958e-16
moderate_abatement,zaf_mean_abatement_burden,delta,ecs_ensemble,0.11764874449490692,0.1701517323990966
moderate_abatement,zaf_mean_damage_fraction,rho,eta,0.0,0.0
moderate_abatement,zaf_mean_damage_fraction,rho,delta,0.0,1.0090868676213371e-16
moderate_abatement,zaf_mean_damage_fraction,rho,ecs_ensemble,0.0,7.959901390772911e-17
moderate_abatement,zaf_mean_damage_fraction,eta,delta,0.0,1.0090868676213371e-16
moderate_abatement,zaf_mean_damage_fraction,eta,ecs_ensemble,0.0,7.959901390772911e-17
moderate_abatement,zaf_mean_damage_fraction,delta,ecs_ensemble,0.10844788610499467,0.16763372451158426
moderate_abatement,zaf_mean_net_output_ratio,rho,eta,0.0,0.0
moderate_abatement,zaf_mean_net_output_ratio,rho,delta,-5.551115123125783e-17,7.552929590250573e-17
moderate_abatement,zaf_mean_net_output_ratio,rho,ecs_ensemble,0.0,1.556087323154878e-16
moderate_abatement,zaf_mean_net_output_ratio,eta,delta,-5.551115123125783e-17,7.552929590250573e-17
moderate_abatement,zaf_mean_net_output_ratio,eta,ecs_ensemble,0.0,1.556087323154878e-16
moderate_abatement,zaf_mean_net_output_ratio,delta,ecs_ensemble,0.10844840927846955,0.15090613848794637
