policy,parameter,outcome,importance
no_abatement,delta,welfare,0.0
no_abatement,delta,years_above_temperature_threshold,0.0
no_abatement,delta,fraction_above_threshold,0.0
no_abatement,delta,global_temperature_2100,0.0
no_abatement,delta,max_global_temperature,0.0
no_abatement,delta,welfare_loss_damage,0.0
no_abatement,delta,welfare_loss_abatement,0.0
no_abatement,delta,zaf_mean_abatement_burden,0.0
no_abatement,delta,zaf_mean_damage_fraction,0.0
no_abatement,delta,zaf_mean_net_output_ratio,0.0
no_abatement,ecs_ensemble,welfare,0.0
no_abatement,ecs_ensemble,years_above_temperature_threshold,0.0
no_abatement,ecs_ensemble,fraction_above_threshold,0.0
no_abatement,ecs_ensemble,global_temperature_2100,0.0
no_abatement,ecs_ensemble,max_global_temperature,0.0
no_abatement,ecs_ensemble,welfare_loss_damage,0.0
no_abatement,ecs_ensemble,welfare_loss_abatement,0.0
no_abatement,ecs_ensemble,zaf_mean_abatement_burden,0.0
no_abatement,ecs_ensemble,zaf_mean_damage_fraction,0.0
no_abatement,ecs_ensemble,zaf_mean_net_output_ratio,0.0
no_abatement,eta,welfare,0.0
no_abatement,eta,years_above_temperature_threshold,0.0
no_abatement,eta,fraction_above_threshold,0.0
no_abatement,eta,global_temperature_2100,0.0
no_abatement,eta,max_global_temperature,0.0
no_abatement,eta,welfare_loss_damage,0.0
no_abatement,eta,welfare_loss_abatement,0.0
no_abatement,eta,zaf_mean_abatement_burden,0.0
no_abatement,eta,zaf_mean_damage_fraction,0.0
no_abatement,eta,zaf_mean_net_output_ratio,0.0
no_abatement,rho,welfare,0.0
no_abatement,rho,years_above_temperature_threshold,0.0
no_abatement,rho,fraction_above_threshold,0.0
no_abatement,rho,global_temperature_2100,0.0
no_abatement,rho,max_global_temperature,0.0
no_abatement,rho,welfare_loss_damage,0.0
no_abatement,rho,welfare_loss_abatement,0.0
no_abatement,rho,zaf_mean_abatement_burden,0.0
no_abatement,rho,zaf_mean_damage_fraction,0.0
no_abatement,rho,zaf_mean_net_output_ratio,0.0
moderate_abatement,delta,welfare,0.0
moderate_abatement,delta,years_above_temperature_threshold,0.0
moderate_abatement,delta,fraction_above_threshold,0.0
moderate_abatement,delta,global_temperature_2100,0.0
moderate_abatement,delta,max_global_temperature,0.0
moderate_abatement,delta,welfare_loss_damage,0.0
moderate_abatement,delta,welfare_loss_abatement,0.0
moderate_abatement,delta,zaf_mean_abatement_burden,0.0
moderate_abatement,delta,zaf_mean_damage_fraction,0.0
moderate_abatement,delta,zaf_mean_net_output_ratio,0.0
moderate_abatement,ecs_ensemble,welfare,0.0
moderate_abatement,ecs_ensemble,years_above_temperature_threshold,0.0
moderate_abatement,ecs_ensemble,fraction_above_threshold,0.0
moderate_abatement,ecs_ensemble,global_temperature_2100,0.0
moderate_abatement,ecs_ensemble,max_global_temperature,0.0
moderate_abatement,ecs_ensemble,welfare_loss_damage,0.0
moderate_abatement,ecs_ensemble,welfare_loss_abatement,0.0
moderate_abatement,ecs_ensemble,zaf_mean_abatement_burden,0.0
moderate_abatement,ecs_ensemble,zaf_mean_damage_fraction,0.0
moderate_abatement,ecs_ensemble,zaf_mean_net_output_ratio,0.0
moderate_abatement,eta,welfare,0.0
moderate_abatement,eta,years_above_temperature_threshold,0.0
moderate_abatement,eta,fraction_above_threshold,0.0
moderate_abatement,eta,global_temperature_2100,0.0
moderate_abatement,eta,max_global_temperature,0.0
moderate_abatement,eta,welfare_loss_damage,0.0
moderate_abatement,eta,welfare_loss_abatement,0.0
moderate_abatement,eta,zaf_mean_abatement_burden,0.0
moderate_abatement,eta,zaf_mean_damage_fraction,0.0
moderate_abatement,eta,zaf_mean_net_output_ratio,0.0
moderate_abatement,rho,welfare,0.0
moderate_abatement,rho,years_above_temperature_threshold,0.0
moderate_abatement,rho,fraction_above_threshold,0.0
moderate_abatement,rho,global_temperature_2100,0.0
moderate_abatement,rho,max_global_temperature,0.0
moderate_abatement,rho,welfare_loss_damage,0.0
moderate_abatement,rho,welfare_loss_abatement,0.0
moderate_abatement,rho,zaf_mean_abatement_burden,0.0
moderate_abatement,rho,zaf_mean_damage_fraction,0.0
moderate_abatement,rho,zaf_mean_net_output_ratio,0.0
