policy,outcome,parameter,S1,S1_conf,ST,ST_conf,note
no_abatement,welfare,rho,,,,,No output variance
no_abatement,welfare,eta,,,,,No output variance
no_abatement,welfare,delta,,,,,No output variance
no_abatement,welfare,ecs_ensemble,,,,,No output variance
no_abatement,years_above_temperature_threshold,rho,,,,,No output variance
no_abatement,years_above_temperature_threshold,eta,,,,,No output variance
no_abatement,years_above_temperature_threshold,delta,,,,,No output variance
no_abatement,years_above_temperature_threshold,ecs_ensemble,,,,,No output variance
no_abatement,fraction_above_threshold,rho,,,,,No output variance
no_abatement,fraction_above_threshold,eta,,,,,No output variance
no_abatement,fraction_above_threshold,delta,,,,,No output variance
no_abatement,fraction_above_threshold,ecs_ensemble,,,,,No output variance
no_abatement,global_temperature_2100,rho,,,,,No output variance
no_abatement,global_temperature_2100,eta,,,,,No output variance
no_abatement,global_temperature_2100,delta,,,,,No output variance
no_abatement,global_temperature_2100,ecs_ensemble,,,,,No output variance
no_abatement,max_global_temperature,rho,,,,,No output variance
no_abatement,max_global_temperature,eta,,,,,No output variance
no_abatement,max_global_temperature,delta,,,,,No output variance
no_abatement,max_global_temperature,ecs_ensemble,,,,,No output variance
no_abatement,welfare_loss_damage,rho,,,,,No output variance
no_abatement,welfare_loss_damage,eta,,,,,No output variance
no_abatement,welfare_loss_damage,delta,,,,,No output variance
no_abatement,welfare_loss_damage,ecs_ensemble,,,,,No output variance
no_abatement,welfare_loss_abatement,rho,,,,,No output variance
no_abatement,welfare_loss_abatement,eta,,,,,No output variance
no_abatement,welfare_loss_abatement,delta,,,,,No output variance
no_abatement,welfare_loss_abatement,ecs_ensemble,,,,,No output variance
no_abatement,zaf_mean_abatement_burden,rho,,,,,No output variance
no_abatement,zaf_mean_abatement_burden,eta,,,,,No output variance
no_abatement,zaf_mean_abatement_burden,delta,,,,,No output variance
no_abatement,zaf_mean_abatement_burden,ecs_ensemble,,,,,No output variance
no_abatement,zaf_mean_damage_fraction,rho,,,,,No output variance
no_abatement,zaf_mean_damage_fraction,eta,,,,,No output variance
no_abatement,zaf_mean_damage_fraction,delta,,,,,No output variance
no_abatement,zaf_mean_damage_fraction,ecs_ensemble,,,,,No output variance
no_abatement,zaf_mean_net_output_ratio,rho,,,,,No output variance
no_abatement,zaf_mean_net_output_ratio,eta,,,,,No output variance
no_abatement,zaf_mean_net_output_ratio,delta,,,,,No output variance
no_abatement,zaf_mean_net_output_ratio,ecs_ensemble,,,,,No output variance
moderate_abatement,welfare,rho,,,,,No output variance
moderate_abatement,welfare,eta,,,,,No output variance
moderate_abatement,welfare,delta,,,,,No output variance
moderate_abatement,welfare,ecs_ensemble,,,,,No output variance
moderate_abatement,years_above_temperature_threshold,rho,,,,,No output variance
moderate_abatement,years_above_temperature_threshold,eta,,,,,No output variance
moderate_abatement,years_above_temperature_threshold,delta,,,,,No output variance
moderate_abatement,years_above_temperature_threshold,ecs_ensemble,,,,,No output variance
moderate_abatement,fraction_above_threshold,rho,,,,,No output variance
moderate_abatement,fraction_above_threshold,eta,,,,,No output variance
moderate_abatement,fraction_above_threshold,delta,,,,,No output variance
moderate_abatement,fraction_above_threshold,ecs_ensemble,,,,,No output variance
moderate_abatement,global_temperature_2100,rho,,,,,No output variance
moderate_abatement,global_temperature_2100,eta,,,,,No output variance
moderate_abatement,global_temperature_2100,delta,,,,,No output variance
moderate_abatement,global_temperature_2100,ecs_ensemble,,,,,No output variance
moderate_abatement,max_global_temperature,rho,,,,,No output variance
moderate_abatement,max_global_temperature,eta,,,,,No output variance
moderate_abatement,max_global_temperature,delta,,,,,No output variance
moderate_abatement,max_global_temperature,ecs_ensemble,,,,,No output variance
moderate_abatement,welfare_loss_damage,rho,,,,,No output variance
moderate_abatement,welfare_loss_damage,eta,,,,,No output variance
moderate_abatement,welfare_loss_damage,delta,,,,,No output variance
moderate_abatement,welfare_loss_damage,ecs_ensemble,,,,,No output variance
moderate_abatement,welfare_loss_abatement,rho,,,,,No output variance
moderate_abatement,welfare_loss_abatement,eta,,,,,No output variance
moderate_abatement,welfare_loss_abatement,delta,,,,,No output variance
moderate_abatement,welfare_loss_abatement,ecs_ensemble,,,,,No output variance
moderate_abatement,zaf_mean_abatement_burden,rho,,,,,No output variance
moderate_abatement,zaf_mean_abatement_burden,eta,,,,,No output variance
moderate_abatement,zaf_mean_abatement_burden,delta,,,,,No output variance
moderate_abatement,zaf_mean_abatement_burden,ecs_ensemble,,,,,No output variance
moderate_abatement,zaf_mean_damage_fraction,rho,,,,,No output variance
moderate_abatement,zaf_mean_damage_fraction,eta,,,,,No output variance
moderate_abatement,zaf_mean_damage_fraction,delta,,,,,No output variance
moderate_abatement,zaf_mean_damage_fraction,ecs_ensemble,,,,,No output variance
moderate_abatement,zaf_mean_net_output_ratio,rho,,,,,No output variance
moderate_abatement,zaf_mean_net_output_ratio,eta,,,,,No output variance
moderate_abatement,zaf_mean_net_output_ratio,delta,,,,,No output variance
moderate_abatement,zaf_mean_net_output_ratio,ecs_ensemble,,,,,No output variance
