policy_id,global_temperature_2100,zaf_mean_abatement_burden,zaf_mean_damage_fraction,zaf_mean_net_output_ratio,old_2C_fraction_diagnostic,all_updated_criteria
0,0.004,0.925,0.737,0.805,0.0,0.004
1,0.0,0.852,0.579,0.672,0.0,0.0
2,0.0,0.818,0.57,0.578,0.0,0.0
3,0.0,0.723,0.522,0.519,0.0,0.0
4,0.0,0.677,0.497,0.465,0.0,0.0
5,0.0,0.687,0.445,0.506,0.0,0.0
6,0.0,0.688,0.43,0.432,0.0,0.0
7,0.0,0.632,0.433,0.439,0.0,0.0
8,0.0,0.625,0.436,0.44,0.0,0.0
9,0.0,0.609,0.379,0.431,0.0,0.0
10,0.0,0.629,0.369,0.433,0.0,0.0
