policy_id,sa_temperature_robustness_score,n_scenarios,n_satisficing,mean_global_temperature_2100,median_global_temperature_2100,p90_global_temperature_2100,mean_max_global_temperature,median_max_global_temperature,mean_fraction_above_threshold,diagnostic_2C_pass_rate,mean_zaf_abatement_burden,median_zaf_abatement_burden,mean_zaf_damage_fraction,median_zaf_damage_fraction,mean_zaf_net_output_ratio,median_zaf_net_output_ratio,mean_welfare,mean_welfare_loss_damage,mean_welfare_loss_abatement,mean_global_abatement_burden,mean_total_welfare_loss
0,0.004,1000,4,12.360263704700552,11.880962200231467,17.713904594585056,16.048737666273155,15.057721727849934,1.0,0.0,50.65733395329576,6.139255353870792e-07,0.3128577667534831,0.3045128580707837,-50.02225983046725,0.6954865565548789,734.4936461181638,222.4362402017137,18769.993687976978,2769.9046806061465,18992.42992817869
1,0.0,1000,0,13.618596664682318,12.886648928699566,19.132439850404364,17.503233102917314,15.504517947573223,1.0,0.0,418708.3369784227,0.0019736354405880023,0.3545013513747309,0.38678920678729517,-418707.7925057126,0.5814476565876092,875.5843927785305,167.89255138350597,11057.22156688684,2954457.674699519,11225.114118270345
2,0.0,1000,0,13.96961278735376,12.965027575893473,19.908374721581705,18.016528714907746,15.674196660019884,1.0,0.0,1326.201188352747,2.028329495875288e-05,0.3685224800875337,0.38111238726252916,-1325.69000711361,0.5708713841584303,1010.7478604736913,179.46379805555145,13084.059078411225,109155.55149216305,13263.522876466775
3,0.0,1000,0,14.11527966174793,13.168776965513125,20.535741443905515,18.075188355646056,15.815517323269905,1.0,0.0,472474.7129677744,0.0032831093664763148,0.37512031168695786,0.39169161724233714,-472474.2665775688,0.5539198231211171,1019.6487505991611,184.8761813986416,11068.270096396163,2487504.3162253043,11253.146277794805
4,0.0,1000,0,14.355870186784026,13.338643827816963,20.973727584095233,18.45443137871134,16.711809372953667,1.0,0.0,83743.50667366988,0.0010501700413746043,0.38420119474560305,0.4075141379834077,-83743.0958023555,0.4618364224891522,1030.5062459493631,189.69695634702668,11231.712860563539,1335817.329669311,11421.409816910565
5,0.0,1000,0,14.37035519296723,13.412214054773816,21.305965043481113,18.502814727799894,16.07529709826681,1.0,0.0,1384.790461541224,7.087414295038249e-05,0.38624914189643855,0.4195407314743639,-1384.374886980843,0.5509071847080842,1081.534527946015,194.89891633436875,11027.91556886406,3295046.004099046,11222.814485198429
6,0.0,1000,0,14.604392050544673,13.55022058581741,21.581527597747453,18.78826360256881,17.076680758003214,1.0,0.0,541575.2136963733,0.0016691151616714055,0.394088811640614,0.42079624097734486,-541574.8026290413,0.46047547108503706,1229.0876743597842,204.29380298962252,11142.48535691401,2267800.7259052945,11346.779159903634
7,0.0,1000,0,14.595251124070723,13.636433989702986,21.800798939714394,18.76949138856175,17.213235117651184,1.0,0.0,152896.7301875606,0.001052776875476676,0.3954102122611683,0.43057882727353336,-152896.34289491514,0.5447358441538162,1267.684098397714,210.167824433445,11204.866996201203,1439290.5839597874,11415.034820634648
8,0.0,1000,0,14.643335163331988,13.722581469169542,22.001365740669037,18.80002359559073,17.46679628509679,1.0,0.0,92792.80362861643,0.0005630132171754198,0.39737801301209363,0.4230577074194095,-92792.42034095613,0.5454508141444683,1274.688160541956,213.1701655772846,11089.29091333428,2323515.527648747,11302.461078911565
9,0.0,1000,0,14.550791584036226,13.724004006737044,22.118772286876208,18.719706578207088,16.45872835846871,1.0,0.0,25162.739890016823,0.0002848115888130551,0.3964919002331684,0.41742263884280106,-25162.363845434455,0.4575905000050272,1270.8176573921824,222.22888670016877,11097.110016827068,2260754.2521489104,11319.338903527236
10,0.0,1000,0,14.82339563686161,13.832068077984477,22.26931719559693,19.110390938065265,17.071150654550607,1.0,0.0,20542.71649991377,0.00015310821467323654,0.4053490863936788,0.4354071569789041,-20542.337149481264,0.5415652718917603,1354.6543472488554,226.64204318817139,12276.762951252693,192101.32472867751,12503.404994440863
